country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
North Macedonia,2020-07-16,8623,4565,401,93
Norway,2020-07-16,9015,8138,254,4
Oman,2020-07-16,62574,40090,290,1327
Pakistan,2020-07-16,257914,178737,5426,0
Panama,2020-07-16,50373,25842,1000,1130
Papua New Guinea,2020-07-16,11,8,0,0
Paraguay,2020-07-16,3342,1379,27,144
Peru,2020-07-16,341586,230994,12615,3835
Philippines,2020-07-16,61266,21440,1643,2416
Poland,2020-07-16,39054,28928,1605,333
Portugal,2020-07-16,47765,32476,1679,339
Qatar,2020-07-16,105477,102168,152,494
Romania,2020-07-16,35003,22189,1971,777
Russia,2020-07-16,751612,530801,11920,6415
Rwanda,2020-07-16,1473,770,4,38
Saint Kitts and Nevis,2020-07-16,17,15,0,0
Saint Lucia,2020-07-16,23,19,0,1
Saint Vincent and the Grenadines,2020-07-16,35,29,0,0
San Marino,2020-07-16,699,656,42,0
Sao Tome and Principe,2020-07-16,740,325,14,3
Saudi Arabia,2020-07-16,243238,187622,2370,2764
Senegal,2020-07-16,8481,5735,156,112
Serbia,2020-07-16,19717,14417,442,383
Seychelles,2020-07-16,108,27,0,8
Sierra Leone,2020-07-16,1678,1213,64,10
Singapore,2020-07-16,47126,43256,27,248
Slovakia,2020-07-16,1951,1514,28,24
Slovenia,2020-07-16,1897,1522,111,19
Somalia,2020-07-16,3106,1444,93,23
South Africa,2020-07-16,324221,165591,4669,13172
South Sudan,2020-07-16,2171,1175,41,18
Spain,2020-07-16,258855,150376,28416,1361
Sri Lanka,2020-07-16,2687,2007,11,16
Sudan,2020-07-16,10527,5601,668,0
Suriname,2020-07-16,904,581,18,67
Sweden,2020-07-16,76877,0,5593,385
Switzerland,2020-07-16,33290,29900,1969,142
Syria,2020-07-16,477,0,22,19
Taiwan*,2020-07-16,451,440,7,0
Tajikistan,2020-07-16,6741,5431,56,46
Tanzania,2020-07-16,509,183,21,0
Thailand,2020-07-16,3236,3095,58,4
Timor-Leste,2020-07-16,24,0,0,0
Togo,2020-07-16,749,543,15,9
Trinidad and Tobago,2020-07-16,133,124,8,0
Tunisia,2020-07-16,1327,1093,50,8
Turkey,2020-07-16,216873,198820,5440,933
Uganda,2020-07-16,1051,1014,0,8
Ukraine,2020-07-16,57640,29822,1462,861
United Arab Emirates,2020-07-16,56129,47412,335,281
United Kingdom,2020-07-16,294116,1403,45204,647
Uruguay,2020-07-16,1026,916,32,17
USA,2020-07-16,3576157,1090645,138358,77255
Uzbekistan,2020-07-16,15066,8783,75,485
Venezuela,2020-07-16,10854,3255,104,426
Vietnam,2020-07-16,381,356,0,0
West Bank and Gaza,2020-07-16,7412,1313,51,348
Western Sahara,2020-07-16,10,8,1,0
Yemen,2020-07-16,1552,695,438,26
Zambia,2020-07-16,1895,1412,42,0
Zimbabwe,2020-07-16,1362,425,23,273
