date,fips,state_name,state,Death Key,Death Value,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month
2020-03-04,17,Illinois,IL,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,33,New Hampshire,NH,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,33,New Hampshire,NH,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,36,New York,NY,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,36,New York,NY,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,37,North Carolina,NC,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,37,North Carolina,NC,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,41,Oregon,OR,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,41,Oregon,OR,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,44,Rhode Island,RI,NYT deaths,0,4,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,44,Rhode Island,RI,COVID tracking deaths,0,4,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,48,Texas,TX,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,48,Texas,TX,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,53,Washington,WA,NYT deaths,11,4,42,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,53,Washington,WA,COVID tracking deaths,16,4,42,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,55,Wisconsin,WI,NYT deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-04,55,Wisconsin,WI,COVID tracking deaths,0,4,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,04,Arizona,AZ,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,04,Arizona,AZ,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,06,California,CA,NYT deaths,1,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,06,California,CA,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,08,Colorado,CO,NYT deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,08,Colorado,CO,COVID tracking deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,12,Florida,FL,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,12,Florida,FL,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,13,Georgia,GA,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,13,Georgia,GA,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,17,Illinois,IL,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,17,Illinois,IL,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,24,Maryland,MD,NYT deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,24,Maryland,MD,COVID tracking deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,31,Nebraska,NE,NYT deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,31,Nebraska,NE,COVID tracking deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,32,Nevada,NV,NYT deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,32,Nevada,NV,COVID tracking deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,33,New Hampshire,NH,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,33,New Hampshire,NH,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,34,New Jersey,NJ,NYT deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,34,New Jersey,NJ,COVID tracking deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,36,New York,NY,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,36,New York,NY,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,37,North Carolina,NC,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,37,North Carolina,NC,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,41,Oregon,OR,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,41,Oregon,OR,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,44,Rhode Island,RI,NYT deaths,0,5,4,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,44,Rhode Island,RI,COVID tracking deaths,0,5,4,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,47,Tennessee,TN,NYT deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,47,Tennessee,TN,COVID tracking deaths,0,5,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,48,Texas,TX,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,48,Texas,TX,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,53,Washington,WA,NYT deaths,11,5,43,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,53,Washington,WA,COVID tracking deaths,20,5,43,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,55,Wisconsin,WI,NYT deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-05,55,Wisconsin,WI,COVID tracking deaths,0,5,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,04,Arizona,AZ,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,04,Arizona,AZ,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,06,California,CA,NYT deaths,1,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,06,California,CA,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,08,Colorado,CO,NYT deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,08,Colorado,CO,COVID tracking deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,12,Florida,FL,NYT deaths,2,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,12,Florida,FL,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,13,Georgia,GA,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,13,Georgia,GA,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,17,Illinois,IL,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,17,Illinois,IL,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,18,Indiana,IN,NYT deaths,0,6,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,18,Indiana,IN,COVID tracking deaths,0,6,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,21,Kentucky,KY,NYT deaths,0,6,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,21,Kentucky,KY,COVID tracking deaths,0,6,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,24,Maryland,MD,NYT deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,24,Maryland,MD,COVID tracking deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,27,Minnesota,MN,NYT deaths,0,6,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,27,Minnesota,MN,COVID tracking deaths,0,6,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,31,Nebraska,NE,NYT deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,31,Nebraska,NE,COVID tracking deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,32,Nevada,NV,NYT deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,32,Nevada,NV,COVID tracking deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,33,New Hampshire,NH,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,33,New Hampshire,NH,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,34,New Jersey,NJ,NYT deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,34,New Jersey,NJ,COVID tracking deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,36,New York,NY,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,36,New York,NY,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,37,North Carolina,NC,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,37,North Carolina,NC,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,41,Oregon,OR,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,41,Oregon,OR,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,42,Pennsylvania,PA,NYT deaths,0,6,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,42,Pennsylvania,PA,COVID tracking deaths,0,6,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,44,Rhode Island,RI,NYT deaths,0,6,5,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,44,Rhode Island,RI,COVID tracking deaths,0,6,5,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,45,South Carolina,SC,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,45,South Carolina,SC,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,47,Tennessee,TN,NYT deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,47,Tennessee,TN,COVID tracking deaths,0,6,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,48,Texas,TX,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,48,Texas,TX,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,53,Washington,WA,NYT deaths,12,6,44,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,53,Washington,WA,COVID tracking deaths,26,6,44,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,55,Wisconsin,WI,NYT deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-06,55,Wisconsin,WI,COVID tracking deaths,0,6,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,04,Arizona,AZ,NYT deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,04,Arizona,AZ,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,06,California,CA,NYT deaths,1,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,06,California,CA,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,08,Colorado,CO,NYT deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,08,Colorado,CO,COVID tracking deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,11,District of Columbia,DC,NYT deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,11,District of Columbia,DC,COVID tracking deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,12,Florida,FL,NYT deaths,2,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,12,Florida,FL,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,13,Georgia,GA,NYT deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,13,Georgia,GA,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,15,Hawaii,HI,NYT deaths,0,7,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,15,Hawaii,HI,COVID tracking deaths,0,7,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,17,Illinois,IL,NYT deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,17,Illinois,IL,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,18,Indiana,IN,NYT deaths,0,7,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,18,Indiana,IN,COVID tracking deaths,0,7,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,20,Kansas,KS,NYT deaths,0,7,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,20,Kansas,KS,COVID tracking deaths,0,7,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,21,Kentucky,KY,NYT deaths,0,7,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,21,Kentucky,KY,COVID tracking deaths,0,7,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,24,Maryland,MD,NYT deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,24,Maryland,MD,COVID tracking deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,27,Minnesota,MN,NYT deaths,0,7,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,27,Minnesota,MN,COVID tracking deaths,0,7,1,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,29,Missouri,MO,NYT deaths,0,7,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,29,Missouri,MO,COVID tracking deaths,0,7,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,31,Nebraska,NE,NYT deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,31,Nebraska,NE,COVID tracking deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,32,Nevada,NV,NYT deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,32,Nevada,NV,COVID tracking deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,33,New Hampshire,NH,NYT deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,33,New Hampshire,NH,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,34,New Jersey,NJ,NYT deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,34,New Jersey,NJ,COVID tracking deaths,0,7,2,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,36,New York,NY,NYT deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,36,New York,NY,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,37,North Carolina,NC,NYT deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,37,North Carolina,NC,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,40,Oklahoma,OK,NYT deaths,0,7,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,40,Oklahoma,OK,COVID tracking deaths,0,7,0,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,41,Oregon,OR,NYT deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
2020-03-07,41,Oregon,OR,COVID tracking deaths,0,7,3,2020,10,2020-03-01,Mar,3,2020-03-01
