region,code,year,country_region
Indonesia,IDN,2016,Indonesia
"Iran, Islamic Rep.",IRN,2016,"Iran, Islamic Rep."
Iraq,IRQ,2016,Iraq
Ireland,IRL,2016,Ireland
Israel,ISR,2016,Israel
Italy,ITA,2016,Italy
Jamaica,JAM,2016,Jamaica
Japan,JPN,2016,Japan
Jordan,JOR,2016,Jordan
Kazakhstan,KAZ,2016,Kazakhstan
Kenya,KEN,2016,Kenya
Kiribati,KIR,2016,Kiribati
"Korea, Rep.",KOR,2016,"Korea, Rep."
Kosovo,XKX,2016,Kosovo
Kuwait,KWT,2016,Kuwait
Kyrgyz Republic,KGZ,2016,Kyrgyz Republic
Lao PDR,LAO,2016,Lao PDR
Latvia,LVA,2016,Latvia
Lebanon,LBN,2016,Lebanon
Lesotho,LSO,2016,Lesotho
Liberia,LBR,2016,Liberia
Lithuania,LTU,2016,Lithuania
Luxembourg,LUX,2016,Luxembourg
"Macao SAR, China",MAC,2016,"Macao SAR, China"
"Macedonia, FYR",MKD,2016,North Macedonia
Madagascar,MDG,2016,Madagascar
Malawi,MWI,2016,Malawi
Malaysia,MYS,2016,Malaysia
Maldives,MDV,2016,Maldives
Mali,MLI,2016,Mali
Malta,MLT,2016,Malta
Marshall Islands,MHL,2016,Marshall Islands
Mauritania,MRT,2016,Mauritania
Mauritius,MUS,2016,Mauritius
Mexico,MEX,2016,Mexico
"Micronesia, Fed. Sts.",FSM,2016,"Micronesia, Fed. Sts."
Moldova,MDA,2016,Moldova
Mongolia,MNG,2016,Mongolia
Montenegro,MNE,2016,Montenegro
Morocco,MAR,2016,Morocco
Mozambique,MOZ,2016,Mozambique
Myanmar,MMR,2016,Myanmar
Namibia,NAM,2016,Namibia
Nauru,NRU,2016,Nauru
Nepal,NPL,2016,Nepal
Netherlands,NLD,2016,Netherlands
New Zealand,NZL,2016,New Zealand
Nicaragua,NIC,2016,Nicaragua
Niger,NER,2016,Niger
Nigeria,NGA,2016,Nigeria
Northern Mariana Islands,MNP,2016,Northern Mariana Islands
Norway,NOR,2016,Norway
Oman,OMN,2016,Oman
Pakistan,PAK,2016,Pakistan
Palau,PLW,2016,Palau
Panama,PAN,2016,Panama
Papua New Guinea,PNG,2016,Papua New Guinea
Paraguay,PRY,2016,Paraguay
Peru,PER,2016,Peru
Philippines,PHL,2016,Philippines
Poland,POL,2016,Poland
Portugal,PRT,2016,Portugal
Qatar,QAT,2016,Qatar
Romania,ROU,2016,Romania
Russian Federation,RUS,2016,Russian Federation
Rwanda,RWA,2016,Rwanda
Samoa,WSM,2016,Samoa
San Marino,SMR,2016,San Marino
Sao Tome and Principe,STP,2016,Sao Tome and Principe
Saudi Arabia,SAU,2016,Saudi Arabia
Senegal,SEN,2016,Senegal
Serbia,SRB,2016,Serbia
Seychelles,SYC,2016,Seychelles
Sierra Leone,SLE,2016,Sierra Leone
Singapore,SGP,2016,Singapore
Slovak Republic,SVK,2016,Slovak Republic
Slovenia,SVN,2016,Slovenia
Solomon Islands,SLB,2016,Solomon Islands
Somalia,SOM,2016,Somalia
South Africa,ZAF,2016,South Africa
Spain,ESP,2016,Spain
Sri Lanka,LKA,2016,Sri Lanka
St. Kitts and Nevis,KNA,2016,St. Kitts and Nevis
St. Lucia,LCA,2016,St. Lucia
St. Vincent and the Grenadines,VCT,2016,St. Vincent and the Grenadines
Sudan,SDN,2016,Sudan
Suriname,SUR,2016,Suriname
Swaziland,SWZ,2016,Eswatini
Sweden,SWE,2016,Sweden
Switzerland,CHE,2016,Switzerland
Tajikistan,TJK,2016,Tajikistan
Tanzania,TZA,2016,Tanzania
Thailand,THA,2016,Thailand
Timor-Leste,TLS,2016,Timor-Leste
Togo,TGO,2016,Togo
Tonga,TON,2016,Tonga
Trinidad and Tobago,TTO,2016,Trinidad and Tobago
Tunisia,TUN,2016,Tunisia
Turkey,TUR,2016,Turkey
Turkmenistan,TKM,2016,Turkmenistan
Tuvalu,TUV,2016,Tuvalu
Uganda,UGA,2016,Uganda
Ukraine,UKR,2016,Ukraine
United Arab Emirates,ARE,2016,United Arab Emirates
United Kingdom,GBR,2016,United Kingdom
United States,USA,2016,USA
Uruguay,URY,2016,Uruguay
Uzbekistan,UZB,2016,Uzbekistan
Vanuatu,VUT,2016,Vanuatu
Vietnam,VNM,2016,Vietnam
West Bank and Gaza,PSE,2016,West Bank and Gaza
"Yemen, Rep.",YEM,2016,"Yemen, Rep."
Zambia,ZMB,2016,Zambia
Zimbabwe,ZWE,2016,Zimbabwe
